Kiosk,Begin,End,Locality,Spectrum
商店1,2016/9/8,2016/10/10,北部,體系2
商店2,2016/9/9,2016/10/11,北部,體系11
商店3,2016/9/10,2016/10/12,北部,體系11
商店4,2016/9/11,2016/10/11,北部,體系10
商店5,2016/9/12,2016/10/11,北部,體系12
商店6,2016/9/13,2016/10/11,北部,體系12
商店7,2016/9/14,2016/10/11,北部,體系22
商店8,2016/9/15,2016/10/11,北部,體系22
商店9,2016/9/16,2016/10/11,北部,體系22
商店10,2016/9/17,2016/10/11,北部,體系22
商店11,2016/9/18,2016/10/11,北部,體系22
商店12,2016/9/19,2016/10/11,北部,體系22
商店13,2016/9/20,2016/10/11,北部,體系22
商店14,2016/9/21,2016/10/11,北部,體系22
商店15,2016/9/22,2016/10/11,北部,體系10
商店16,2016/9/23,2016/10/11,北部,體系1
商店17,2016/9/24,2016/10/11,北部,體系23
商店18,2016/9/25,2016/10/11,北部,體系10
商店19,2016/9/26,2016/10/11,北部,體系1
商店20,2016/9/27,2016/10/11,北部,體系6
商店21,2016/9/28,2016/10/11,北部,體系10
商店22,2016/9/29,2016/10/11,北部,體系23
商店23,2016/9/30,2016/10/11,北部,體系12
商店24,2016/10/1,2016/10/11,北部,體系2
商店25,2016/10/2,2016/10/11,北部,體系23
商店26,2016/10/3,2016/10/11,北部,體系23
商店27,2016/10/4,2016/10/11,北部,體系23
商店28,2016/10/5,2016/10/11,北部,體系1
商店29,2016/10/6,2016/10/11,北部,體系1
商店30,2016/10/7,2016/10/11,北部,體系12
商店31,2016/10/8,2016/10/11,北部,體系1
商店32,2016/10/9,2016/10/11,北部,體系12
商店33,2016/10/10,2016/10/11,北部,體系10
商店34,2016/10/11,2016/10/11,北部,體系12
商店35,2016/10/12,2016/10/11,北部,體系10
商店36,2016/10/13,2016/10/11,北部,體系1
商店37,2016/10/14,2016/10/11,北部,體系12
商店38,2016/10/15,2016/10/11,北部,體系1
商店39,2016/10/16,2016/10/11,中部,體系1
商店40,2016/10/17,2016/10/11,中部,體系2
商店41,2016/10/18,2016/10/11,中部,體系23
商店42,2016/10/19,2016/10/11,中部,體系10
商店43,2016/10/20,2016/10/11,中部,體系12
商店44,2016/10/21,2016/10/11,中部,體系12
商店45,2016/10/22,2016/10/11,中部,體系2
商店46,2016/10/23,2016/10/11,中部,體系23
商店47,2016/10/24,2016/10/11,南部,體系12
商店48,2016/10/25,2016/10/11,南部,體系12
商店49,2016/10/26,2016/10/11,南部,體系23
商店50,2016/10/27,2016/10/11,南部,體系22
商店51,2016/10/28,2016/10/11,南部,體系1
商店52,2016/10/29,2016/10/11,南部,體系10
商店53,2016/10/30,2016/10/11,南部,體系23
商店54,2016/10/31,2016/10/11,南部,體系2
商店55,2016/11/1,2016/10/11,南部,體系1
商店56,2016/11/2,2016/10/11,南部,體系10
商店57,2016/11/3,2016/10/11,南部,體系1
商店58,2016/11/4,2016/10/11,南部,體系12
商店59,2016/11/5,2016/10/11,南部,體系12
商店60,2016/11/6,2017/1/17,南部,體系22
商店61,2016/11/7,2017/1/8,南部,體系21
商店62,2016/11/8,2017/1/8,東部,體系11
商店63,2016/11/9,2017/1/8,東部,體系23
